name,apple,google,other1,other2
cred,https://apps.apple.com/in/app/cred-credit-card-bills-upi/id1428580080,https://play.google.com/store/apps/details?id=com.dreamplug.androidapp&hl=en_IN&gl=US,,
swiggy,https://apps.apple.com/in/app/swiggy-food-grocery-delivery/id989540920,https://play.google.com/store/apps/details?id=in.swiggy.android&hl=en&gl=US,,
